# Wavelength (um) Flux (erg/s/cm)
3.30033003300e+00 8.00294255009e+04
3.29978551394e+00 8.00315035070e+04
3.29924117453e+00 8.00335762877e+04
3.29869701468e+00 8.00356438413e+04
3.29815303430e+00 8.00377061744e+04
3.29760923331e+00 8.00397632855e+04
3.29706561161e+00 8.00418151757e+04
3.29652216911e+00 8.00438618460e+04
3.29597890574e+00 8.00459032976e+04
3.29543582139e+00 8.00479395316e+04
3.29489291598e+00 8.00499705492e+04
3.29435018943e+00 8.00519963513e+04
3.29380764163e+00 8.00540169393e+04
3.29326527252e+00 8.00560323141e+04
3.29272308199e+00 8.00580424770e+04
3.29218106996e+00 8.00600474290e+04
3.29163923634e+00 8.00620471712e+04
3.29109758104e+00 8.00640417048e+04
3.29055610398e+00 8.00660310309e+04
3.29001480507e+00 8.00680151506e+04
3.28947368421e+00 8.00699940651e+04
3.28893274133e+00 8.00719677754e+04
3.28839197632e+00 8.00739362828e+04
3.28785138912e+00 8.00758995882e+04
3.28731097962e+00 8.00778576930e+04
3.28677074774e+00 8.00798105952e+04
3.28623069339e+00 8.00817583017e+04
3.28569081649e+00 8.00837008109e+04
3.28515111695e+00 8.00856381238e+04
3.28461159468e+00 8.00875702416e+04
3.28407224959e+00 8.00894971654e+04
3.28353308160e+00 8.00914188963e+04
3.28299409061e+00 8.00933354355e+04
3.28245527655e+00 8.00952467841e+04
3.28191663932e+00 8.00971529433e+04
3.28137817884e+00 8.00990539141e+04
3.28083989501e+00 8.01009496977e+04
3.28030178776e+00 8.01028402952e+04
3.27976385700e+00 8.01047257078e+04
3.27922610264e+00 8.01066059365e+04
3.27868852459e+00 8.01084809826e+04
3.27815112277e+00 8.01103508471e+04
3.27761389708e+00 8.01122155313e+04
3.27707684745e+00 8.01140750361e+04
3.27653997379e+00 8.01159293628e+04
3.27600327600e+00 8.01177785125e+04
3.27546675401e+00 8.01196224863e+04
3.27493040773e+00 8.01214612854e+04
3.27439423707e+00 8.01232949109e+04
3.27385824194e+00 8.01251233640e+04
3.27332242226e+00 8.01269466457e+04
3.27278677794e+00 8.01287647572e+04
3.27225130890e+00 8.01305776997e+04
3.27171601505e+00 8.01323854742e+04
3.27118089630e+00 8.01341880820e+04
3.27064595258e+00 8.01359855242e+04
3.27011118378e+00 8.01377778019e+04
3.26957658983e+00 8.01395649162e+04
3.26904217064e+00 8.01413468684e+04
3.26850792613e+00 8.01431236594e+04
3.26797385621e+00 8.01448952905e+04
3.26743996079e+00 8.01466617629e+04
3.26690623979e+00 8.01484230776e+04
3.26637269312e+00 8.01501792358e+04
3.26583932071e+00 8.01519302387e+04
3.26530612245e+00 8.01536760873e+04
3.26477309827e+00 8.01554167829e+04
3.26424024808e+00 8.01571523266e+04
3.26370757180e+00 8.01588827195e+04
3.26317506934e+00 8.01606079627e+04
3.26264274062e+00 8.01623280575e+04
3.26211058555e+00 8.01640430049e+04
3.26157860404e+00 8.01657528062e+04
3.26104679602e+00 8.01674574624e+04
3.26051516140e+00 8.01691569747e+04
3.25998370008e+00 8.01708513442e+04
3.25945241199e+00 8.01725405722e+04
3.25892129705e+00 8.01742246597e+04
3.25839035516e+00 8.01759036078e+04
3.25785958625e+00 8.01775774179e+04
3.25732899023e+00 8.01792460909e+04
3.25679856701e+00 8.01809096281e+04
3.25626831651e+00 8.01825680305e+04
3.25573823865e+00 8.01842212994e+04
3.25520833333e+00 8.01858694359e+04
3.25467860049e+00 8.01875124412e+04
3.25414904003e+00 8.01891503163e+04
3.25361965186e+00 8.01907830625e+04
3.25309043591e+00 8.01924106809e+04
3.25256139210e+00 8.01940331726e+04
3.25203252033e+00 8.01956505389e+04
3.25150382052e+00 8.01972627807e+04
3.25097529259e+00 8.01988698994e+04
3.25044693645e+00 8.02004718961e+04
3.24991875203e+00 8.02020687718e+04
3.24939073924e+00 8.02036605278e+04
3.24886289799e+00 8.02052471653e+04
3.24833522820e+00 8.02068286853e+04
3.24780772978e+00 8.02084050890e+04
3.24728040266e+00 8.02099763776e+04
3.24675324675e+00 8.02115425522e+04
3.24622626197e+00 8.02131036139e+04
3.24569944823e+00 8.02146595640e+04
3.24517280545e+00 8.02162104035e+04
3.24464633355e+00 8.02177561337e+04
3.24412003244e+00 8.02192967556e+04
3.24359390204e+00 8.02208322704e+04
3.24306794227e+00 8.02223626793e+04
3.24254215305e+00 8.02238879833e+04
3.24201653428e+00 8.02254081837e+04
3.24149108590e+00 8.02269232815e+04
3.24096580781e+00 8.02284332780e+04
3.24044069994e+00 8.02299381741e+04
3.23991576219e+00 8.02314379711e+04
3.23939099449e+00 8.02329326701e+04
3.23886639676e+00 8.02344222721e+04
3.23834196891e+00 8.02359067784e+04
3.23781771086e+00 8.02373861899e+04
3.23729362253e+00 8.02388605077e+04
3.23676970384e+00 8.02403297330e+04
3.23624595469e+00 8.02417938668e+04
3.23572237502e+00 8.02432529101e+04
3.23519896474e+00 8.02447068640e+04
3.23467572376e+00 8.02461557293e+04
3.23415265201e+00 8.02475995071e+04
3.23362974939e+00 8.02490381982e+04
3.23310701584e+00 8.02504718035e+04
3.23258445127e+00 8.02519003238e+04
3.23206205559e+00 8.02533237597e+04
3.23153982873e+00 8.02547421118e+04
3.23101777060e+00 8.02561553807e+04
3.23049588112e+00 8.02575635664e+04
3.22997416021e+00 8.02589666692e+04
3.22945260778e+00 8.02603646888e+04
3.22893122376e+00 8.02617576246e+04
3.22841000807e+00 8.02631454758e+04
3.22788896062e+00 8.02645282411e+04
3.22736808133e+00 8.02659059187e+04
